,price,longitude,latitude,city
43281,87.99999999999999,-71.05361512953846,42.36772762657671,Boston
55900,178.0,-71.07388944398609,42.35235979348256,Boston
5185,449.00000000000006,-71.06706452161346,42.35568372043257,Boston
36160,99.00000000000004,-71.07670298599551,42.3870129684335,Boston
63951,63.99999999999998,-71.14205000566683,42.34467081759686,Boston
26438,178.99999999999983,-71.03680021451514,42.374006302688606,Boston
69733,198.99999999999994,-71.17320731380887,42.35360125641128,Boston
23080,248.9999999999999,-71.10226014685459,42.333043476569095,Boston
74068,99.00000000000004,-71.10624048636811,42.319239160320095,Boston
6716,146.99999999999994,-71.0683507343221,42.35780787029965,Boston
7032,73.99999999999997,-71.05910152805583,42.329975582040476,Boston
55631,188.00000000000037,-71.06369785430991,42.36455529191207,Boston
62029,128.99999999999997,-71.09024260321091,42.3482595321162,Boston
59134,262.99999999999994,-71.0549660595441,42.31792286216727,Boston
43942,124.00000000000004,-71.08221800171846,42.349881251044174,Boston
8558,84.00000000000001,-71.1162317738424,42.246520316300725,Boston
48373,449.00000000000006,-71.0838133214568,42.33713488988796,Boston
33761,55.00000000000002,-71.07453658404799,42.326144342119605,Boston
32869,117.00000000000004,-71.0298791186283,42.334420053184296,Boston
47428,299.0000000000002,-71.0850538645381,42.35057650476629,Boston
71149,68.00000000000001,-71.10505127122521,42.31613012702236,Boston
28835,63.99999999999998,-71.0592404613887,42.297719717380254,Boston
32104,799.0000000000006,-71.0629315072513,42.3521367148909,Boston
63461,73.99999999999997,-71.11687373250301,42.31803897447978,Boston
66999,143.99999999999997,-71.06901235735414,42.36349226206283,Boston
47122,88.99999999999967,-71.10305663270587,42.319778674914545,Boston
2937,168.0,-71.06938212851847,42.35981148564707,Boston
194,174.00000000000006,-71.06784338474553,42.38288298614747,Boston
716,288.0000000000003,-71.06148527337115,42.35625501217886,Boston
62001,183.99999999999994,-71.07481708081386,42.34007150279008,Boston
22381,158.0,-71.04997944248987,42.33974325121584,Boston
7127,87.00000000000003,-71.06464987690346,42.35179777710177,Boston
51818,38.99999999999998,-71.12389447283763,42.36164085512783,Boston
25948,78.0,-71.09264112004337,42.32513754124609,Boston
65893,158.0,-71.10619904215757,42.34560026615361,Boston
71229,99.00000000000004,-71.0931876498234,42.34551462721346,Boston
42022,274.00000000000057,-71.08020557924621,42.338258657001155,Boston
55241,54.000000000000014,-71.06618055338862,42.28147409975232,Boston
58415,298.0000000000004,-71.05228017156112,42.3647517257113,Boston
52907,124.00000000000004,-71.0679307880178,42.350153800748465,Boston
69633,178.0,-71.06167521253369,42.35127414071154,Boston
38679,367.00000000000045,-71.07741826303752,42.35100773730158,Boston
687,88.99999999999967,-70.99186147896266,42.38156573282229,Boston
20477,274.00000000000057,-71.05693185371102,42.31477219286308,Boston
32107,248.9999999999999,-71.06111579882169,42.36375850848224,Boston
22282,97.99999999999999,-71.08104935255355,42.316034195139736,Boston
50293,118.99999999999997,-71.0706933971195,42.3576620251356,Boston
26767,449.00000000000006,-71.06431308923464,42.38143243382864,Boston
29624,77.0,-71.09478938818442,42.32502098490802,Boston
12213,438.00000000000085,-71.0598224321812,42.36405815057279,Boston
16226,124.00000000000004,-71.13140826651366,42.28389087384849,Boston
41807,78.99999999999997,-71.06903945639355,42.336281548393224,Boston
30594,212.00000000000006,-71.1580381537686,42.34085381918699,Boston
2295,248.9999999999999,-71.05248303684002,42.36182817877078,Boston
67401,63.99999999999998,-71.16528082770172,42.356477533442785,Boston
34794,49.00000000000004,-71.07514595328362,42.27244173878852,Boston
51415,208.99999999999994,-71.14096692885143,42.35455785203463,Boston
35608,178.99999999999983,-71.06022304425835,42.364682084898575,Boston
67773,698.9999999999985,-71.04321872298976,42.33789988402018,Boston
41133,26.999999999999996,-71.06401976636461,42.30089785650433,Boston
67915,96.0,-71.06963362623753,42.28198939638799,Boston
63584,118.99999999999997,-71.13751265535521,42.347742408646155,Boston
33894,58.999999999999986,-71.13969042118957,42.27498031102064,Boston
37416,124.00000000000004,-71.15847280663905,42.293567894833295,Boston
10114,73.99999999999997,-71.11178023080245,42.299587787693476,Boston
62536,198.99999999999994,-71.0681538431211,42.33816148609245,Boston
51406,168.0,-71.08278011217308,42.3425986281408,Boston
17236,138.99999999999994,-71.11086734295495,42.32853832394419,Boston
5539,399.0000000000002,-71.06198658328555,42.35367635579667,Boston
161,99.00000000000004,-71.14533107240824,42.27700841791601,Boston
49261,238.99999999999977,-71.07414295645904,42.337529447920986,Boston
68377,63.99999999999998,-71.13795529323475,42.29078292331886,Boston
3567,183.00000000000023,-71.06213032707227,42.35094638720326,Boston
61507,174.00000000000006,-71.06362541690929,42.35126102439081,Boston
33209,49.00000000000004,-71.12124797327608,42.352683672246144,Boston
19014,84.00000000000001,-71.1105244224708,42.306811532274814,Boston
21083,159.00000000000023,-71.11699349188702,42.3125650694871,Boston
52566,248.9999999999999,-71.06548638624518,42.36057290297437,Boston
51011,97.99999999999999,-71.05158689704922,42.363954289106545,Boston
60338,116.00000000000003,-71.06301537985014,42.3790886009274,Boston
17844,197.99999999999997,-71.05490794454491,42.35809764308189,Boston
690,73.99999999999997,-71.08863747407419,42.310761226136336,Boston
53338,68.00000000000001,-71.07272852785195,42.29316244494344,Boston
809,498.99999999999983,-71.06810028933633,42.3484557168945,Boston
32281,33.99999999999999,-71.07203686724688,42.30327328770219,Boston
13554,219.00000000000048,-71.06436761787046,42.35935499583029,Boston
52230,138.99999999999994,-71.13553645433956,42.28657682901829,Boston
66467,158.0,-71.08865814974298,42.34485741008921,Boston
9613,58.999999999999986,-71.09996367787961,42.343758142853645,Boston
44731,58.999999999999986,-71.0926772373132,42.31273036332021,Boston
7787,87.99999999999999,-71.10772939261619,42.31735004051633,Boston
56583,178.99999999999983,-71.05315937078815,42.363129559129135,Boston
60,124.00000000000004,-71.05291817119243,42.336007264672034,Boston
38570,128.99999999999997,-71.06555836973574,42.35924865856049,Boston
62916,143.00000000000014,-71.06134783914553,42.291607952586695,Boston
37879,194.0,-71.06672559880404,42.36066017019649,Boston
19243,97.99999999999999,-71.11391762627707,42.314461652910154,Boston
43006,94.0,-71.1464828101517,42.34701863091083,Boston
66086,30.0,-71.07393180925204,42.28299239722918,Boston
10354,137.99999999999997,-71.06111384419096,42.350948573088345,Boston
61429,189.0,-71.06881615036389,42.35980510467375,Boston
18447,69.00000000000003,-71.04858112472684,42.33477750511096,Boston
47930,99.00000000000004,-71.08867266929427,42.345963734370976,Boston
18407,47.99999999999999,-71.08709090008675,42.30956345317556,Boston
2658,124.00000000000004,-71.06910599055006,42.38037397683925,Boston
29618,78.99999999999997,-71.16087132628869,42.34957660664694,Boston
45896,53.00000000000001,-71.09428559706531,42.34708821001718,Boston
57711,198.99999999999994,-71.04747640943722,42.35016815009689,Boston
57847,99.00000000000004,-71.16707734149641,42.344361199299534,Boston
72175,102.99999999999999,-71.04048656749968,42.33644559940925,Boston
63985,148.0,-71.10119771091831,42.34317272439679,Boston
27973,288.0000000000003,-71.0699701804912,42.36390010325937,Boston
16343,148.99999999999997,-71.06210725322437,42.34289402560318,Boston
2377,102.99999999999999,-71.07850586835279,42.38249932398282,Boston
10276,127.99999999999997,-71.10174879415875,42.344796782290146,Boston
48163,84.99999999999982,-71.13398483229345,42.360277162536896,Boston
38225,188.00000000000037,-71.11224365750616,42.328611767141396,Boston
3019,127.99999999999997,-71.0607307798942,42.34953273016119,Boston
33974,87.99999999999999,-71.07978541165011,42.35044103918178,Boston
47002,97.99999999999999,-71.05752144760966,42.36515406168565,Boston
53031,148.99999999999997,-71.04335595068373,42.332309392956674,Boston
39503,198.99999999999994,-71.03871152356722,42.379286253072536,Boston
68182,899.0000000000009,-71.07556733200137,42.270469523798745,Boston
20761,278.9999999999999,-71.080484180931,42.352869718356985,Boston
71266,49.00000000000004,-71.09099808873236,42.31824217483281,Boston
32276,134.00000000000003,-71.06583798091202,42.349595912118986,Boston
44033,27.99999999999999,-71.1449623111007,42.34031439369014,Boston
50425,124.00000000000004,-71.05850362673148,42.29745364719143,Boston
56176,198.99999999999994,-71.17106817368325,42.273928541584134,Boston
34780,174.00000000000006,-71.10654012092837,42.333752503997395,Boston
30364,198.99999999999994,-71.06408080672719,42.35122665932927,Boston
23828,399.0000000000002,-71.14865974617963,42.34716461290028,Boston
65908,93.0,-71.1123177290191,42.319499959646116,Boston
3868,94.0,-71.10431989090918,42.3462681379072,Boston
68823,118.00000000000013,-71.14105591088914,42.29052559198051,Boston
13675,158.0,-71.10086952162213,42.32364290895587,Boston
52108,80.00000000000003,-71.06971034784158,42.36604009903002,Boston
29495,73.99999999999997,-71.06419607530228,42.37424406798445,Boston
63787,44.000000000000014,-71.0795975406825,42.38144647753839,Boston
73923,50.0,-71.06420728640464,42.30775066701751,Boston
41372,299.0000000000002,-71.08561477148602,42.34862911850599,Boston
43495,176.0000000000001,-71.07918967241032,42.346686549726975,Boston
28418,127.99999999999997,-71.04761291955536,42.349506095500395,Boston
59146,198.99999999999994,-71.08638883645453,42.345898043653506,Boston
37421,198.99999999999994,-71.11272474122002,42.30750880921306,Boston
70884,228.00000000000048,-71.06023182395046,42.37186295251771,Boston
37590,58.000000000000014,-71.06749180367538,42.286719520275156,Boston
39277,348.9999999999999,-71.06569762923866,42.3799973196388,Boston
65650,97.99999999999999,-71.14884786761306,42.34576660680324,Boston
8156,54.000000000000014,-71.10250850329456,42.323861856650986,Boston
33767,38.99999999999998,-71.07906502343617,42.317713665685574,Boston
53797,62.99999999999998,-71.10404986129859,42.32202903962229,Boston
21200,71.99999999999999,-71.08105263235319,42.33248521577108,Boston
2570,63.99999999999998,-71.06456359983261,42.29072925324577,Boston
36757,248.9999999999999,-71.06016439244476,42.32597682090415,Boston
32314,319.0000000000002,-71.06661990019944,42.35800692497085,Boston
31989,69.00000000000003,-71.13670546832886,42.346200160779965,Boston
29607,49.00000000000004,-71.13284869986505,42.350251316695505,Boston
55629,24.000000000000007,-71.11250952324194,42.2987085828295,Boston
16260,397.99999999999943,-71.0521362955339,42.33170885052253,Boston
27121,56.999999999999986,-71.12438589653615,42.36040825267022,Boston
23431,103.99999999999997,-71.0351975764878,42.377611839800785,Boston
26692,294.0000000000001,-71.06457411291062,42.3600152030894,Boston
66352,198.99999999999994,-71.07735542129099,42.34556791104973,Boston
22501,174.99999999999994,-71.08076259510034,42.34448567335711,Boston
63236,124.00000000000004,-71.06143071858068,42.35515467371553,Boston
44643,38.99999999999998,-71.00176943508964,42.38903147571557,Boston
32480,247.99999999999972,-71.06929087357383,42.34380979831553,Boston
48194,58.999999999999986,-71.1199453778794,42.294442148764404,Boston
48528,143.99999999999997,-71.02671702836363,42.33879398306414,Boston
40065,128.99999999999997,-71.06978811231377,42.35746382261507,Boston
14729,194.0,-71.06819767478622,42.29365743934302,Boston
70889,107.00000000000003,-71.06970012278269,42.35788812457189,Boston
72587,148.99999999999997,-71.07834143471044,42.355527797905374,Boston
49854,97.99999999999999,-71.15293746921054,42.34217373406151,Boston
58421,35.999999999999964,-71.09444698196816,42.31452797480323,Boston
41359,124.00000000000004,-71.07690856396708,42.33831659589648,Boston
31428,114.00000000000001,-71.0543166266631,42.36591324976417,Boston
43426,198.99999999999994,-71.03525810532975,42.335285827808406,Boston
43862,73.00000000000003,-71.15504853240198,42.3399832041504,Boston
37293,114.00000000000001,-71.10177218761099,42.31819873088315,Boston
4599,229.00000000000026,-71.00471442388962,42.38968172925277,Boston
31780,38.99999999999998,-71.09216876003873,42.31399430880877,Boston
72012,180.99999999999997,-71.07242806631876,42.347004993344214,Boston
3799,188.00000000000037,-71.06269213714495,42.351321886219566,Boston
23818,123.00000000000003,-71.10137047880296,42.34548324231236,Boston
34311,197.99999999999997,-71.0653945172411,42.364610667978894,Boston
71268,124.00000000000004,-71.12944468687637,42.358505658891936,Boston
28429,63.99999999999998,-71.05363169623129,42.31873348916368,Boston
10166,99.00000000000004,-71.09046621259866,42.34836777979012,Boston
21271,97.99999999999999,-71.03428152050827,42.37668853175393,Boston
34422,174.00000000000006,-71.0993000485672,42.34471795950652,Boston
58534,248.9999999999999,-71.10926318625519,42.311852721337,Boston
27071,127.99999999999997,-71.13111851100706,42.34972172705107,Boston
22452,63.99999999999998,-71.06920794529942,42.28818647114265,Boston
35536,118.00000000000013,-71.11130238197715,42.329151924121696,Boston
63852,194.0,-71.11553158945944,42.30454928375496,Boston
11640,118.99999999999997,-71.04209234319397,42.337520031904056,Boston
20830,49.00000000000004,-71.14842902681252,42.3540012915425,Boston
21676,397.99999999999943,-71.11451133583604,42.318501214026405,Boston
27496,125.99999999999987,-71.11071114761103,42.32997810027935,Boston
61846,128.99999999999997,-71.04715368443095,42.33887931143165,Boston
3545,197.99999999999997,-71.10489692991891,42.31778979561365,Boston
60664,103.99999999999997,-71.04762982202215,42.3401731382821,Boston
26185,143.00000000000014,-71.11221226964012,42.32971464981159,Boston
503,88.99999999999967,-71.12104523832988,42.35172557572753,Boston
64277,188.00000000000037,-71.06914427762909,42.278520714233714,Boston
19736,80.99999999999994,-71.13107373653091,42.28509664284081,Boston
15283,189.0,-71.06507693914673,42.37644638836301,Boston
15183,176.99999999999997,-71.04944880537195,42.28993431031763,Boston
73972,198.99999999999994,-71.05373334539482,42.362628729779146,Boston
36778,78.0,-71.14968862819097,42.27442532742753,Boston
4425,168.0,-71.11194984991245,42.330253914179416,Boston
22046,97.00000000000003,-71.13317099839506,42.35162361917147,Boston
18321,80.99999999999994,-71.13493377445452,42.34911337778325,Boston
35671,319.0000000000002,-71.07183778774451,42.3392203242003,Boston
19749,109.00000000000004,-71.06117714874267,42.3516424274147,Boston
4107,174.00000000000006,-71.0527471800403,42.33616655819237,Boston
6893,317.99999999999994,-71.11641497800227,42.31433571613884,Boston
7633,623.9999999999998,-71.06298134601975,42.375530628744976,Boston
30624,174.00000000000006,-71.0955748281923,42.350821245820576,Boston
37665,248.9999999999999,-71.0558817276351,42.36565753825271,Boston
24916,229.00000000000026,-71.0714057212558,42.36056064859132,Boston
9267,299.0000000000002,-71.05909170976508,42.36658600914461,Boston
15334,138.99999999999994,-71.14004235099037,42.34749929922339,Boston
70281,198.99999999999994,-71.06282214174206,42.359807360557866,Boston
61708,99.00000000000004,-71.06379924930765,42.34283724244477,Boston
42829,194.0,-71.06870167741819,42.27518673985901,Boston
19938,198.99999999999994,-71.08370428316877,42.350114390836474,Boston
46285,165.00000000000006,-71.06814984752519,42.35975239683132,Boston
13279,168.0,-71.05421246774222,42.36592154204769,Boston
43892,99.00000000000004,-71.08908279722412,42.32863049200633,Boston
48706,138.99999999999994,-71.16447517446866,42.29275947301698,Boston
57081,47.99999999999999,-71.11819675185424,42.274940290853216,Boston
54180,33.99999999999999,-71.1362270546672,42.34935204340879,Boston
24524,259.00000000000017,-71.06818911648381,42.360448132520304,Boston
59283,38.99999999999998,-71.0671387378088,42.28582577561967,Boston
16003,594.0000000000002,-71.07548956336723,42.35206821744261,Boston
1781,99.00000000000004,-71.05688666176559,42.318508397581155,Boston
54904,190.0,-71.07179095130816,42.34529530520836,Boston
69263,599.0,-71.05407780952204,42.36264153674244,Boston
27698,80.99999999999994,-71.11423327902818,42.30512600898364,Boston
2894,124.00000000000004,-71.06749000626691,42.356797029579454,Boston
68215,178.0,-71.09930837828419,42.344542940595176,Boston
21163,109.00000000000004,-71.03277789031864,42.366959663083335,Boston
58438,148.99999999999997,-71.05958006384482,42.29536596549187,Boston
36598,127.99999999999997,-71.05846715336719,42.35442453166028,Boston
32538,96.0,-71.08157617020447,42.353356664601606,Boston
70585,58.999999999999986,-71.12209681221768,42.35385193794485,Boston
18182,38.99999999999998,-71.08942825628974,42.28603662995216,Boston
14207,127.99999999999997,-71.05707372381816,42.36523663633439,Boston
57865,174.00000000000006,-71.11775586431584,42.276968619499286,Boston
10090,97.99999999999999,-71.0536460038337,42.36509661155355,Boston
63540,97.99999999999999,-71.05185902359331,42.35945159578164,Boston
21650,180.00000000000006,-71.09980814904063,42.34457204336622,Boston
24679,134.00000000000003,-71.11676184755693,42.30415489225021,Boston
66269,73.99999999999997,-71.09462250229728,42.3294215151054,Boston
65212,174.99999999999994,-71.05612596347385,42.289798717063974,Boston
24061,259.00000000000017,-71.04389297559555,42.332733616462974,Boston
48710,159.00000000000023,-71.09957962869748,42.315922709721605,Boston
66624,27.99999999999999,-71.13872848232197,42.35452204280227,Boston
29231,197.99999999999997,-71.07505285083262,42.34731098021755,Boston
38013,197.99999999999997,-71.09805496615115,42.3450229411184,Boston
9989,148.0,-71.11950614080548,42.25771023128593,Boston
30896,97.99999999999999,-71.05315577538694,42.36666039095179,Boston
63568,218.00000000000003,-71.05641502816331,42.28519145251717,Boston
11469,136.00000000000003,-71.05652564878099,42.36653098658747,Boston
31364,38.99999999999998,-71.11856750964633,42.2922121841483,Boston
55641,63.99999999999998,-71.12990741892278,42.357872304738656,Boston
33090,219.00000000000048,-71.09734580417229,42.34368310023597,Boston
44780,78.99999999999997,-71.03223867693835,42.3701154127593,Boston
62764,198.99999999999994,-71.06232329883342,42.3594170554889,Boston
63937,38.99999999999998,-71.07951952826994,42.316457982913974,Boston
35606,323.99999999999994,-71.07582495266445,42.354065934457175,Boston
50795,73.99999999999997,-71.08958270661267,42.34585845836077,Boston
66137,146.99999999999994,-71.0805557382492,42.339099936616456,Boston
65143,58.000000000000014,-71.15562388711018,42.35318791359961,Boston
45723,49.00000000000004,-71.11518855890074,42.282224755841604,Boston
21925,274.00000000000057,-71.06378154473911,42.354648256186174,Boston
71323,248.9999999999999,-71.0915210107952,42.350194777868545,Boston
59531,215.00000000000006,-71.07879094316347,42.352579737702044,Boston
38927,49.00000000000004,-71.15239829461458,42.27658293416582,Boston
58249,128.99999999999997,-71.08562569818484,42.324162542987104,Boston
22820,68.00000000000001,-71.14000462888497,42.35874345335444,Boston
13377,148.0,-71.08023462174924,42.34705573387048,Boston
2771,159.00000000000023,-71.07419475613311,42.33982700547539,Boston
47164,87.99999999999999,-71.06405168745427,42.358504955574425,Boston
34255,68.00000000000001,-71.14167268534855,42.35903476713924,Boston
70158,148.99999999999997,-71.09047217750756,42.321581648142576,Boston
17781,399.0000000000002,-71.05221256305288,42.357935801896,Boston
10741,213.99999999999991,-71.07417158346134,42.34387421592756,Boston
43706,126.99999999999997,-71.05018055786485,42.376111819311106,Boston
27447,94.0,-71.07416682165585,42.34675815220524,Boston
70367,88.99999999999967,-71.06761452149141,42.35909095348149,Boston
50999,198.99999999999994,-71.07175693122319,42.35225241644322,Boston
40135,118.99999999999997,-71.06378548023146,42.27197536345592,Boston
19655,174.99999999999994,-71.07499793976649,42.34021512126599,Boston
3133,97.99999999999999,-71.08223720255174,42.34373292909057,Boston
60180,124.00000000000004,-71.08733597399933,42.32485699030899,Boston
45673,88.99999999999967,-71.11618734754231,42.316057717637456,Boston
37554,174.00000000000006,-71.06438190912729,42.36472565961546,Boston
12461,78.99999999999997,-71.03154844148557,42.36523874003314,Boston
60097,138.99999999999994,-71.06523161373536,42.35987892597669,Boston
67127,99.00000000000004,-71.10640627596929,42.318635400684855,Boston
46227,69.00000000000003,-71.07509877996345,42.32244465832487,Boston
62473,49.00000000000004,-71.10436451468867,42.303908795890386,Boston
15964,47.99999999999999,-71.1528741064134,42.35728799473221,Boston
36324,274.00000000000057,-71.0793802565534,42.33947728985138,Boston
33719,33.00000000000001,-71.06667507203903,42.28825021017635,Boston
58641,697.9999999999986,-71.09010409515618,42.34948545632186,Boston
56516,84.00000000000001,-71.10238263012424,42.33312217027335,Boston
27254,107.00000000000003,-71.1529312403407,42.290678465272066,Boston
30195,124.00000000000004,-71.10890836726516,42.30624803195792,Boston
47132,178.0,-71.0736797996714,42.35476045244558,Boston
52242,248.9999999999999,-71.06530197052155,42.36033613150839,Boston
71073,47.99999999999999,-71.12566041237746,42.26769074086153,Boston
25952,52.00000000000001,-71.16003234798234,42.27886520978146,Boston
52941,148.99999999999997,-71.05377299543788,42.33280620873156,Boston
